source_id,recipe_status,renderer,language,date_start,date_end,last_checked,notes
arg_casarosada_wayback,draft,static,Spanish,,2015-12-10,2026-06-29,"NEW master row needed | country=Argentina; source_url=https://www.casarosada.gob.ar/informacion/discursos (Wayback/CDX); source_name=casarosada.gob.ar (Wayback); source_type=official_gov (archived); region=South America; iso3n=32; content_format=fulltext; leaders_covered=Kirchner-era (CFK, N. Kirchner). recipe recipes/arg_casarosada_wayback.yml on main (PR #9) — pagination: wayback over IA CDX, wayback_to 20151210 (complements live arg_casarosada from 2015-12-10 on); coverage ~2007–2015; FULL RUN underway."
arm_president,draft,js,English,2022,2026,2026-07-07,"Reviewer networked-probe outcome. LIVE recipe recipes/arm_president.yml uses renderer:js + browser user_agent to clear the Radware behavioral WAF on president.am (bot UA hard-blocked; browser UA challenged after a burst). Listing renders (49 /en/press-release/item/YYYY/MM/DD/ links) and detail selectors verified (title h1, text .news-text/.static-content, date .date-cub|.news-date day-first hy). BUT full runs are UNRELIABLE: the engine js fetch waits for networkidle (fetch.py), which never settles on this WAF-beacon site -> intermittent goto timeouts; plus the behavioral WAF throttles ~1300-page runs. Engine tweak needed (js wait_until domcontentloaded/selector). Use arm_president_wayback for reliable coverage now. source_url=https://www.president.am/en/press-release/; source_name=president.am; source_type=official_gov; region=Asia; iso3n=51; content_format=fulltext. FULL RUN pending (expect WAF friction)."
arm_president_wayback,draft,static,English,2008,2022,2026-07-07,"Companion WAYBACK recipe recipes/arm_president_wayback.yml (reliable path while the live Radware WAF + engine networkidle block live runs). pagination:wayback over president.am/en/press-release/item -> 8,152 CDX snapshots 2008-2022 (Sargsyan/Sarkissian/Khachaturyan). Probe-verified title/text/date across 2008-2022 (old .news-date + new .date-cub, day-first hy). source_url=president.am/en/press-release/item (Wayback/CDX); source_name=president.am (Wayback); source_type=official_gov (archived); region=Asia; iso3n=51; content_format=fulltext. FULL RUN pending."
bgd_bss_president,draft,static,English,2026,2026,2026-07-08,"Reviewer-authored (redirect of the #39 Bangabhaban task). The official presidency site bangabhaban.gov.bd is intractable: every speech is a PDF using a legacy Bijoy-encoded Bangla font (declared /Helvetica, no ToUnicode) so text extraction yields gibberish, and the date is listing-only — even PDF-extraction + listing-date engine features would not recover usable text (would need Bijoy->Unicode conversion or Bangla OCR, out of scope). Redirected to BSS (Bangladesh Sangbad Sangstha, state news agency) English wire: recipes/bgd_bss_president.yml, pagination:none over https://www.bssnews.net/news/president. Probe-verified clean title(.headline_content_block)/text(#details_content p)/date(.entry_update) across 2026-05..2026-07 (~25 recent President-category articles; third-person official_statement reportage of President Mohammed Shahabuddin). source_url=https://www.bssnews.net/news/president; source_name=bssnews.net (BSS); source_type=state_news_agency; region=Asia; iso3n=50; content_format=fulltext. FULL RUN pending. Follow-ups: a wayback companion for older history; a Chief-Adviser category for the interim head of government."
bgr_president,draft,static,Bulgarian,2012,2016,2026-07-07,"Reviewer networked-probe outcome. Recipe recipes/bgr_president.yml uses pagination:sitemap over president.bg/sitemap.xml (children sitemap_000/001.xml) — 4,379 clean absolute /newsNNNN/*.html permalinks, probe-verified title(h2.article-title)/text(.print-content)/date(.date) across 2012-2016 (Plevneliev era). NOTE language is Bulgarian not English (copilot had it wrong); dates are Bulgarian month names -> date_languages:[bg]. The LIVE /news/page/N/ listing is NOT scrapable by the engine: the site sets <base href=root> and uses relative ./newsNNNN/ hrefs, so urljoin against /news/page/N/ yields non-canonical paths that soft-404 to the homepage (an engine <base>-tag limitation, not a recipe issue); the stale sitemap also stops at ~2016. FOLLOW-UPS (yes-and): a wayback recipe would cover the 2017-2026 Radev-era gap, and honoring <base href> in the engine would unlock the live listing. source_url=president.bg/sitemap.xml; source_name=president.bg; source_type=official_gov; region=Europe; iso3n=100; content_format=fulltext. FULL RUN pending."
btn_royalkidu_wayback,draft,static,English,2020,2020,2026-07-08,"Reviewer networked-probe outcome (supersedes the btn_pmo draft: pmo.gov.bt is DEAD — 503/connection-fail live, ~0 speeches in IA). Bhutan's official web presence is largely dead: royalkidu.bt does not resolve, bhutan.gov.bt fails DNS, nab.gov.bt is down and its speeches are AUDIO/VIDEO (.mp4/.mp3) not text. Only recoverable leader-speech TEXT: royalkidu.bt's archived 'Royal Address' section (His Majesty the King's COVID-era Addresses to the Nation, 2020). Recipe recipes/btn_royalkidu_wayback.yml = pagination:wayback over royalkidu.bt -> probe-verified clean title(h1.entry-title)/text(.entry-content)/date(time.entry-date) on the 2020 addresses. SMALL corpus (~2 addresses) but genuine head-of-state text and the only Bhutan content available. speaker_default=Jigme Khesar Namgyel Wangchuck (King). source_url=royalkidu.bt (Wayback/CDX); source_name=royalkidu.bt (Wayback); source_type=official (archived, defunct); region=Asia; iso3n=64; content_format=fulltext. FOLLOW-UP: nab.gov.bt has ~200 archived audio/video speeches for the video_audio_scraper+Whisper; revisit if a live King's-office/PMO site returns. FULL RUN pending."
cmr_prc,draft,static,English,2012,2026,2026-07-07,"Reviewer networked-probe outcome. prc.cm/en Presidency of Cameroon (Joomla K2), speeches-of-the-president archive. FIXED copilot recipe: pagination step 10->8 (page size is 8; step 10 SKIPPED 2 speeches/page). Probe-verified title(h2)/text(article) + speaker_default Paul Biya across the full archive (~90 English speeches, ids 8251..1155, ~2012-2026; ?start offset pager, engine auto-stops). DATE: there is NO machine-readable date on the detail pages (no <time>/meta/created-attr) and no date in the Joomla-id URL; ~50%% of TITLES contain DD-Month-YYYY but a title date-regex is UNSAFE (engine first_match returns whole text on regex-miss -> parse_date stamps TODAY as garbage). So date is intentionally None at scrape and filled downstream by clean_structure_metadata GPT date pass. ENGINE FEATURE that would date ~50%% safely at scrape: a strict date-regex option (return None on miss, do not fall through to whole-text). source_url=https://www.prc.cm/en/news/speeches-of-the-president; source_name=prc.cm; source_type=official_gov; region=Africa; iso3n=120; content_format=fulltext. FULL RUN pending."
col_presidencia,draft,js,Spanish,,,2026-06-29,"NEW master row needed | country=Colombia; source_url=https://www.presidencia.gov.co/prensa/Paginas/discursos.aspx; source_name=presidencia.gov.co; source_type=official_gov; region=South America; iso3n=170; content_format=fulltext. recipe recipes/col_presidencia.yml on main (issue #7) — SharePoint CSWP via renderer:js + browser user_agent + click pager; probe-validated, FULL RUN pending (date coverage TBD)."
cri_presidencia,none,static,Spanish,,,2026-07-07,NEW master row needed | country=Costa Rica; source_url=https://www.presidencia.go.cr/noticias/; source_name=presidencia.go.cr; source_type=official_gov; region=Central America; iso3n=188; content_format=fulltext. Site now uses /noticias/ listing (legacy /comunicados/ links still matched).
hrv_predsjednik,draft,static,Croatian,2020,2026,2026-07-07,"Reviewer networked-probe outcome. predsjednik.hr has NO sitemap (/sitemap.xml + /sitemap_index.xml 404 -> the draft's pagination:sitemap returned 0). Recipe recipes/hrv_predsjednik.yml switched to the live /vijesti/page/{n}/ pager (6 articles/page, absolute hrefs, ~420 links over 70 pages; deeper pages reach the Milanović era from 2020). Probe-verified title(h1)/text(.p-post-single__content)/date(.p-post-single__meta, Croatian '03. srpnja 2026.' via date_languages:[hr]) across 2025-2026. source_url=https://www.predsjednik.hr/vijesti/; source_name=predsjednik.hr; source_type=official_gov; region=Europe; iso3n=191; content_format=fulltext. FULL RUN pending."
